 Almería,612315,1.0599,0.1792,8742,4.2,200091,379954,593,1511.3
 Cádiz,1180817,0.9909,0.0240,7441,7.8,340497,604460,645,1713
 Córdoba ,784376,0.9628,0.0180,13771,6,260552,416945,618,1405.9
 Granada ,860898,0.9737,0.0440,12647,4.7,325645,516625,749,1338.7
 Huelva ,483792,0.9938,0.0405,10128,5.2,144113,245393,382,1554.8
Jaén,660284,0.9874,0.0175,13489,4.6,215307,344782,595,993
Málaga,1453409,0.9752,0.1428,7306,4.6,641125,882852,1089,2184.1
 Sevilla ,1813908,0.9646,0.0211,14036,5.9,616896,977502,1298,1601.5
 Huesca ,215864,1.0365,0.0754,15626,2.4,97349,144535,353,1532.3
 Teruel ,141091,1.0502,0.0743,14797,2.6,64583,89203,228,966.8
 Zaragoza ,912072,0.9739,0.0857,17274,3,419196,469822,1087,1995.4
 Asturias ,1076635,0.9215,0.0255,10604,5,420156,564790,875,1612.1
 Balears (Illes) ,983131,1.0044,0.1890,4992,2.8,487704,787713,1134,2192.6
 Palmas (Las) ,1011928,1.0241,0.1205,4066,7.5,418992,636376,582,1739.1
 Santa Cruz de Tenerife ,956352,0.9919,0.1346,3381,6.3,385469,633599,586,1638.7
 Cantabria ,562309,0.9558,0.0379,5253,4.1,200844,322186,461,1907.4
 Ávila,167032,1.0102,0.0377,8050,3.9,77504,100652,195,1294
 Burgos ,361021,1.0123,0.0505,14000,3.2,158022,209915,519,1704
 León,495902,0.9512,0.0294,15542,4.7,200215,290875,461,1137.4
 Palencia ,173471,0.9734,0.0207,8052,4.4,69567,99042,218,1193.5
 Salamanca ,352414,0.9528,0.0325,12349,5.2,147118,190341,388,1466.5
 Segovia ,155517,1.0142,0.0831,6849,2.6,73087,98766,183,1479.6
 Soria ,92773,1.0133,0.0614,10303,2.5,43782,58612,153,1353.2
 Valladolid ,514674,0.9645,0.0364,8110,4.6,210686,279743,532,1588.9
 Zamora ,198045,0.9784,0.0191,10561,4.9,79052,112143,241,1135.8
 Albacete ,384640,1.0032,0.0564,14918,5.9,112127,219192,313,1260.3
 Ciudad Real ,500060,0.9823,0.0472,19813,5.4,183450,269700,431,1000.2
 Cuenca ,207974,1.0180,0.0736,17140,3.6,85086,129315,241,987.8
 Guadalajara ,203737,1.0444,0.0929,12169,3,98910,123124,221,1898.6
 Toledo ,598256,1.0164,0.0727,15370,4.2,245628,357285,582,1396
 Barcelona ,5226354,0.9686,0.1222,7728,3.8,2740093,3168920,5364,2551.7
 Girona ,664506,1.0241,0.1779,5910,2.7,353064,497492,773,1979.6
 Lleida ,399439,1.0398,0.1274,12150,2.4,182055,272189,544,1294.3
 Tarragona ,704907,1.0255,0.1354,6303,3.1,335505,460133,748,1726.4
 Alicante ,1732389,0.9996,0.2280,5817,4.4,685447,1079688,1466,1701.5
 Castellón,543432,1.0074,0.1374,6632,3,205675,348533,580,1649.6
 Valencia ,2416628,0.9759,0.0876,12033,4.4,857686,1498361,2235,1458.5
 Badajoz ,671299,0.9813,0.0189,21766,7.6,235451,369348,685,946.9
Cáceres,412580,1.0044,0.0322,19868,5.6,159380,239193,471,939.5
 Coruña (La),1126707,0.9243,0.0216,7950,5.8,391210,614346,923,1397.3
 Lugo ,357625,0.9412,0.0198,9856,4.5,135360,215720,340,1060.4
 Ourense ,339555,0.9234,0.0346,7273,6,132482,227883,377,1060.7
 Pontevedra ,938311,0.9338,0.0299,4495,6.4,312027,570210,747,1561.6
 Madrid ,5964143,0.9387,0.1506,8022,3.7,2864928,3767288,4989,2902.7
 Murcia ,1335792,1.0278,0.1409,11313,3.1,405430,807577,1151,1441.7
 Navarra ,593472,0.9990,0.0918,9801,3.6,243969,370704,684,1670.8
 Álava,299957,0.9953,0.0532,2932,3.5,124038,170521,288,2548
 Guipúzcoa,688708,0.9672,0.0323,1909,3.3,279922,385767,530,2788
 Vizcaya ,1136181,0.9459,0.0329,2217,4,424039,582188,905,2772.7
 Rioja (La) ,301084,1.0159,0.1151,5028,3.1,121815,163592,437,1595
 Ceuta ,75276,1.0366,0.0420,19,8,24849,49811,22,1648.3
 Melilla ,65488,1.0359,0.0462,13,9,23060,42805,20,1320.5
,,,,,,,,,
